restaurant_id,name,area,cuisine,price_band,rating,review_count,source,source_table,address,restaurant_url,has_menu_data
127,Al Rehman Tikka Shop,Lahore,BBQ & Grill,moderate,4.7,3301,foodpanda_menu_scrape,restaurants_from_menu,"Ghazi Road, Nadirabad, Lahore",https://www.foodpanda.pk/restaurant/n7jk/al-rehman-tikka-shop,True
128,BBQ Master - Branch 1,Lahore,BBQ & Grill,budget,0.0,0,foodpanda_menu_scrape,restaurants_from_menu,"Arif Abad, Near Abid Majeed CNG Petrol Pump, Bedian Road Lahore",https://www.foodpanda.pk/restaurant/ywfp/bbq-master-branch-1-ywfp,True
129,BBQ Master - Branch 2,Lahore,Add-ons & Condiments,budget,0.0,0,foodpanda_menu_scrape,restaurants_from_menu,"Opposite Shehbaz Shreef hospital Bedian Road, Lahore",https://www.foodpanda.pk/restaurant/zviy/bbq-master-branch-2-zviy,True
130,Bamboo Union - DHA,DHA,Japanese,premium,4.8,4466,foodpanda_menu_scrape,restaurants_from_menu,"CCA, Phase 5C, Commercial Main Boulevard, DHA, Lahore",https://www.foodpanda.pk/restaurant/n4th/bamboo-union-dha-n4th,True
131,Boomerang - Phase 4 DHA,DHA,Sides & Appetizers,moderate,4.9,3216,foodpanda_menu_scrape,restaurants_from_menu,"9-CC St 8, Sector CC Dha Phase 4.",https://www.foodpanda.pk/restaurant/dtbd/boomerang-phase-4-dha,True
132,CHOP & GRILL,DHA,Chinese,premium,4.4,732,foodpanda_menu_scrape,restaurants_from_menu,"Eden City ayaan Center , DHA Phase 8 Lahore, Punjab 54000, 54000 Punjab, Pakistan",https://www.foodpanda.pk/restaurant/t3dz/chop-and-grill-t3dz,True
133,Crumble - DHA,DHA,Desserts,moderate,5.0,3359,foodpanda_menu_scrape,restaurants_from_menu,Plaza 335. Block Z. Phase 3. DHA Lahore,https://www.foodpanda.pk/restaurant/m5bp/crumble-dha,True
134,Daily Deli CO -DHA,DHA,Beverages,moderate,4.8,13546,foodpanda_menu_scrape,restaurants_from_menu,"Plaza no. 227, Block FF, Phase 4, DHA, Lahore",https://www.foodpanda.pk/restaurant/xyox/daily-deli-co-dha,True
135,Domino's Pizza - DHA H Block,DHA,Desserts,moderate,4.8,3408,foodpanda_menu_scrape,restaurants_from_menu,"Plot # 12 Sector G , DHA Phase 1 Commercial Market , DHA – Lahore",https://www.foodpanda.pk/restaurant/e6of/dominos-pizza-dha-h-block,True
136,Double Shot - Lalik Chowk,DHA,Beverages,premium,4.9,378,foodpanda_menu_scrape,restaurants_from_menu,"Opposite Haly Tower, T Block DHA Phase 2.",https://www.foodpanda.pk/restaurant/dysg/double-shot-lalik-chowk,True
137,Frute - Askari 11,Lahore,Beverages,premium,0.0,0,foodpanda_menu_scrape,restaurants_from_menu,"Arain St 1, Sector B Askari 11 Sector B",https://www.foodpanda.pk/restaurant/ur4x/frute-askari-11,True
138,Hardee's - Lalik Chowk,DHA,Burgers,moderate,4.5,12587,foodpanda_menu_scrape,restaurants_from_menu,"5 CC-A Commercial Area, Phase 2 DHA, Lahore",https://www.foodpanda.pk/restaurant/s2ez/hardees-lalik-chowk,True
139,Jalal Sons - DHA Phase 5,DHA,Desserts,moderate,4.8,8754,foodpanda_menu_scrape,restaurants_from_menu,"9 CCA, Phase 5 DHA",https://www.foodpanda.pk/restaurant/s0og/jalal-sons-dha-phase-5,True
140,KFC - DHA U Block,DHA,Deals & Combos,moderate,4.9,6020,foodpanda_menu_scrape,restaurants_from_menu,"242 Khayaban-e-Jinnah, Sector U DHA Phase 2, Lahore, Punjab, Pakistan",https://www.foodpanda.pk/restaurant/ijsb/kfc-dha-u-block,True
141,KUNGFU PANDA THAI & CHINESE,Lahore,Meat Mains,moderate,4.7,15,foodpanda_menu_scrape,restaurants_from_menu,"685, Punjab Small Industries Cooperative Housing Society Phase 1 Cantt View Housing Scheme, Lahore, Pakistan",https://www.foodpanda.pk/restaurant/ozrt/kungfu-panda-thai-and-chinese,True
